; Way from the great Niben Bridge to the north, up to
; Fort Urasek
;
; Tried to get a tree here and there
; Gruftikus - 05.11.2011

60917 31819 
61125 31392 
62015 32658
62874 31622
65732 32929
65618 34735
66562 35091
59296 38015
58507 37970
58472 40738
59672 41596
58601 40863
66960 36967
69773 44057
72951 43637
73171 47436
72269 46918
69161 47320
68636 48867
67805 48839
66829 51589
67297 51990
66845 52945
66692 53572
66548 54288
68028 53045
67917 53389
66606 54021
68098 54845
68463 54528
66077 53547
66880 55725
65844 56527
67437 56795
70425 55709
71137 57524
66841 56283
65715 58786
65839 60562
66419 66991
66364 62137
65798 62617
67471 62987
69300 62753
68681 63345
67870 64042
66451 64417
65558 64625
65959 65428
65144 65920
66505 66014
65998 66709
65178 67701
65374 69228
64598 69663
64689 70888
63978 70697
63689 71948
64092 72526
62569 72496
62913 73527
62224 74505
58736 74441
57198 72475
57683 75044
57689 75993
56674 76555
