; 
; Gruftikus - 14.10.2011

-10542 71908
-10207 72648
-10339 73410
-10795 73414
-11206 74326
-10706 74781
-10474 75761
-9747 76284
-9943 77347
-9539 78687
-9584 79357
-9496 79769
-9314 80797
-8982 81716
-9212 81531
-9154 82728
-8618 83559
-9044 84597
-8883 85410
-9017 86453
-8557 86523
-7517 87383
-7795 87712
-7367 88400
-7765 88577
-7206 89638
-7325 90237
-10997 84948
-12084 84108
-12204 84356
-12840 84128
-12889 83770
-12557 81946
-12662 81755
-12590 80418
-11685 80447
-11108 80868
-11059 81512
