[Cheydinhal_border]
114412 91431 
113616 90920
114494 89765
115677 88510
116926 85668
124681 86972
125561 89153
125560 91202
125193 93261
124175 94856
123430 95795
119749 98083
118582 100380
115510 100796
114173 98871
113969 96426
114332 94298
114641 92567

[dummy]
10 20
1000 2000
100 500
200 5000

[Chorrol_border]
-63798 90412
-63812 91537
-61683 91685
-58675 92424
-55985 93250
-55270 94520
-55200 97280
-55815 98908
-58660 99880
-62360 100567
-68590 100843
-69733 100546
-70354 99323
-72703 98954
-73287 94827
-73296 91754
-73079 89959
-72211 89463
-68435 89800
-66924 90047
-66430 91121
-65497 91625
-65444 90264

[Bruma_border]
29149 147568
28234 147569
28701 149376
28554 151152
28029 152303
27279 152604
25374 152561
24281 151849
23726 152856
22220 152123
22708 151087
22091 150689
21905 149817
20715 150205
18810 150371
18652 147313
20221 147149
21264 147766
23020 141776
23775 141099
24870 140489
27057 140961
28172 141786
28680 142866
28308 145879
29250 146030
