; Way from Fort Urasek to Cheydinhal
;
;
; Gruftikus - 15.10.2011

99704 84216
97746 84718
97668 84291
96148 84745
94559 85083
94112 84731
92466 84644
92225 84962
90578 83923
90675 83471
89817 82584
88949 82700
88221 81742
88321 80895
87303 81263
86770 80346
85288 79933
85100 80729
84632 80978
85203 81342
84191 80261
83619 79438
82168 79561
81808 78925
80391 78891
79738 79169
78306 78532
77178 78449
75812 77540
74989 78808
73765 79034
72301 79192
73495 77824
73247 76153
72818 77023
70603 77194
70111 76151
69235 75563
69063 76147
68199 76694
68317 77106
68589 77912
68249 76258
68516 75591
67597 75458
67172 75870
66303 76313
65796 75321
65786 74514
64601 74579
63284 74509
64346 73316
94357 80686
97432 81704
99289 81117
97641 85643
99107 85123
100140 84970
100105 84291
102153 84695
105474 87379
107121 87873
108031 89316
109286 90426
107646 91888
104058 92868
104942 94940
87299 81232
86602 81007
85169 80272
85149 83766
86766 85385
85506 86529
86261 88230
97949 84195
98283 81260

