; Way from Fort Urasek to Aleswell
;
;
; Gruftikus - 06.11.2011

62770 76574
62271 76428
61287 78600
61299 80392
60206 80738
61118 82952
60236 83323
60919 84323
60438 84975
59714 85364
59058 85244
59451 84656
60092 84253
60052 82991
61757 83592
61504 84872
60458 86142
60033 87016
59497 87064
58638 87367
58042 86686
58022 86025

; Vilverin
57127 88365
57316 88090
54794 87925
53863 58077
53151 87655
51981 87986
50086 86974
49246 87136
; end Vilverin

58232 90505
59027 90742
58895 92627
58280 92879
58911 94108
58322 94608
59404 95286
58639 95485
58757 96861
59149 97423
57185 99343
58028 99828

;Fort Chalman
59558 99814
60241 99895
59763 100658
60332 100454
60772 101096
61517 99650
62150 100646
62595 98576
61597 101832
61474 103570
60424 103777
60216 104599
61135 104978
; end Fort Chalman

56814 100468
57214 101253
55706 100627
55897 101993
55905 102961
55316 102875
55267 102105
54453 102211
54145 101341
52741 101954
52393 101222
50912 100518
49858 100400
48918 100293

;Roxey Inn
50662 103011
49134 103532
48312 104005
47289 103552
47396 102729
; end

46775 100877
46324 101307
46040 100667
45315 100788
45473 101286
44497 100986
44697 101625
44039 101351
43852 102272
42946 101346 

;Ayleid Well
42209 101005
41280 101029
41033 101756
; end


41108 103448
41971 103129
40462 103259
39497 101471
38810 101823
38500 102802
37472 102886
37119 101851
35995 102186
35586 101328
35543 100642
34185 101282
34169 102126
; Sercen skipped
33413 102100
33378 103126
32871 103838
32630 103469
31928 103982
31587 103311
32018 102814
31633 102565
32038 102246
32147 101283
31217 101025
30462 101154
30817 101993
30634 102933
29475 103208
29851 104203
28699 104527
29586 105519
28746 105545
27758 106521
27012 105940
26673 106973
26203 106538
25265 106972
25405 106162
24914 105616
26035 104803
25253 104330
25512 103714
25060 103069
24488 103630
23673 102997
23085 103440
22641 104131
22004 103685
21266 103577
21200 103986
21156 104722
20243 104689
20050 104082
20017 103633
18944 103708
18751 102596
17741 102450
17360 103052
17109 103703
16054 102587


